Item Name ,Department,In Stock,Price
Tie Dye Dress,Clothing,40," $1,800.00 "
Off the shoulder dress,Clothing,15," $2,200.00 "
Button down dress,Clothing,12," $3,500.00 "
Ribbed dress,Clothing,5," $2,100.00 "
Sleeveless midi dress,Clothing,10," $6,400.00 "
Polka Dot Dress,Clothing,7," $6,800.00 "
Flower Printed Sleeveless dress,Clothing,6," $6,840.00 "
Short sleeve dress,Clothing ,35," $4,500.00 "
Sleeveless dress with belt,Clothing ,11," $6,700.00 "
Women's polo shirt,Clothing ,38," $2,700.00 "
Short sleeve collared top,Clothing ,20," $2,140.00 "
Crew neck top ,Clothing,19," $1,500.00 "
Drawsting top,Clothing ,6," $3,700.00 "
tank top ,Clothing ,45, $600.00 
Ripped jeans ,Clothing ,30," $4,370.00 "
denim shorts,Clothing ,23," $2,700.00 "
distressed denim shorts,Clothing ,14," $3,100.00 "
Mom jeans ,Clothing ,36," $4,210.00 "
wide leg jeans,Clothing ,10," $4,200.00 "
Skinny low rise pants ,Clothing ,15," $3,900.00 "
Dress pants ,Clothing ,34," $3,500.00 "
Men's short sleeve t-Shirt,Clothing ,55," $3,700.00 "
Men's short sleeve casual shirt,Clothing ,43," $2,950.00 "
Men's long sleeve printed shirt ,Clothing ,28," $3,950.00 "
Men's long sleeve plain shirt ,Clothing ,45," $3,200.00 "
Men's classic fit pants,Clothing ,30," $5,300.00 "
 Men's Joggers,Clothing ,18," $4,500.00 "
Men's jeans pants ,Clothing ,27," $5,100.00 "
hand towel,Bath,39, $420.00 
shower caddy,Bath,21, $550.00 
trash bin,Bath,18," $1,250.00 "
bathroom curtain,Bath,46," $2,400.00 "
bathroom rugs,Bath,32," $3,400.00 "
fur cushion cover,bedding,27," $1,200.00 "
animal print cushion cover,bedding,25," $1,020.00 "
cushion cover,bedding,56," $1,050.00 "
5 pc comforter set (king),bedding,24," $11,400.00 "
5 pc reversible comforter set (king),bedding,15," $13,700.00 "
5 pc comforter set (queen),bedding,23," $10,050.00 "
5 pc reversible comforter set (queen),bedding,21," $12,250.00 "
4 pc cotton sheet set (king),bedding,45," $4,600.00 "
4 pc cotton sheet set (queen),bedding,50," $4,000.00 "
pasta bowl,Kitchen,10, $530.00 
2 pc taupe bowel set ,Kitchen,20," $2,600.00 "
Aluminum saucepan,Kitchen,26," $3,600.00 "
Aluminum frying pan ,Kitchen,30," $4,500.00 "
Aluminum dutch pan with lid,Kitchen,15," $4,200.00 "
non-stick aluminum cookware set ,Kitchen,19," $15,900.00 "
whistling tea kettle ,Kitchen,14," $4,050.00 "
stainless steel flatware set,Kitchen,30," $2,450.00 "
teaspoon,Kitchen,74, $70.00 
dinner spoon,Kitchen,85, $100.00 
dinner fork,Kitchen,96, $120.00 
chef knife,Kitchen,53, $640.00 
wood spatula,Kitchen,40, $550.00 
stainless steel grater ,Kitchen,28, $800.00 
dinner plate,Kitchen,57, $370.00 
sqaure plate,Kitchen,55, $450.00 
dessert plate ,Kitchen,60, $350.00 
wine glass,Kitchen,46, $400.00 
champion glass,Kitchen,40, $300.00 
thermal travel tumbler,Kitchen,13," $1,900.00 "
water bottle ,Kitchen,25, $610.00 
